key,source_split,trial_split,filename,disease,IC,Blur,LC,quality_class,group_id,group_size,label_is_empty,qa_flags,image_path,label_path,image_sha256,label_sha256,pixel_sha256,image_mode,label_mode,height,width,foreground_pixels,prior_trial_split,fov_path,fov_sha256
train/118_A.png,train,edge_only,118_A.png,A,1,1,1,good,pixel_118bac6fea8254e84583fbec98d682baf665656e6933e5bd8dca840fc2fa103d,2,0,duplicate_image_distinct_labels,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Original/118_A.png,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Ground truth/118_A.png,1a5dcf05fd457c7882f7c1ad9620e2b6e2ad77529160045f13f27d4b98469feb,bd0a198ac57e65a8aeb532d9c0b2ead58d8dda3761d22a9f7291806a0bbf1a68,118bac6fea8254e84583fbec98d682baf665656e6933e5bd8dca840fc2fa103d,RGB,RGB,2048,2048,293588,edge_only,releases/development_v1/fov/118_A.png,eb1af0d99ce492c0091c8e6882aad152b92da4a5c0542d9f876e2afb949c7aa1
train/121_A.png,train,edge_only,121_A.png,A,1,1,1,good,pixel_a58abfc1f5b26a88023a8c415d8decdaadd612e2cba47e7594c865f900766abe,2,0,duplicate_image_distinct_labels,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Original/121_A.png,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Ground truth/121_A.png,55417d749fa1f565e5cdb4e26fc8ae1d8b2dd7ed4ff7e08a45d491358824ca59,264c63417e13065727cfe051cd4ad197512ba3bc26f06e84f69fea7de71fb86e,a58abfc1f5b26a88023a8c415d8decdaadd612e2cba47e7594c865f900766abe,RGB,RGB,2048,2048,316003,edge_only,releases/development_v1/fov/121_A.png,168434d85343295e3ad586db211dabf474f8a67cc18a062bb3d2ced141ed2e14
train/132_A.png,train,edge_only,132_A.png,A,1,1,1,good,pixel_39628beb9715cdc918befae24c95fdd977e791792788254c0fdcc86b7cdad66f,2,0,duplicate_image_distinct_labels,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Original/132_A.png,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Ground truth/132_A.png,100d0e73eb8168bfe0336c37cc0f03f0f21e1abd10eb38f0990ad47fe43e158e,d1d6de3ce9c6d4cf7cb4124e67b402986a67b3b4d46a42ac5ba653a6ab706164,39628beb9715cdc918befae24c95fdd977e791792788254c0fdcc86b7cdad66f,RGB,RGB,2048,2048,311547,edge_only,releases/development_v1/fov/132_A.png,5ac0416892bb964ba7b92a7a063c9056ede933fe2e5ba0c00335f5fc6050738f
train/134_A.png,train,edge_only,134_A.png,A,1,1,1,good,pixel_a0e493a562a4cbfe0804060d2d825a04dcc45cc7f84dd9b7eb23726ddbcb2593,2,0,duplicate_image_distinct_labels,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Original/134_A.png,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Ground truth/134_A.png,c104474a4d6e401832bb31ee7b9377ee58ca947c34636027f5fea6294207cf72,2e89ceca11a690b81f2a39b219a017610c2560db88ba5bda3b9f34f914aa9009,a0e493a562a4cbfe0804060d2d825a04dcc45cc7f84dd9b7eb23726ddbcb2593,RGB,RGB,2048,2048,334969,edge_only,releases/development_v1/fov/134_A.png,e87e7323ef4973e9245c9aa37b1763100218a572a2ac89dd5059acc4ed0d5bcc
train/34_A.png,train,edge_only,34_A.png,A,1,1,1,good,pixel_118bac6fea8254e84583fbec98d682baf665656e6933e5bd8dca840fc2fa103d,2,0,duplicate_image_distinct_labels,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Original/34_A.png,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Ground truth/34_A.png,1a5dcf05fd457c7882f7c1ad9620e2b6e2ad77529160045f13f27d4b98469feb,e175a99fe5ae52dba3496b962bc6015a3e761c6cc182fb89148997ef678dd938,118bac6fea8254e84583fbec98d682baf665656e6933e5bd8dca840fc2fa103d,RGB,RGB,2048,2048,301290,edge_only,releases/development_v1/fov/34_A.png,eb1af0d99ce492c0091c8e6882aad152b92da4a5c0542d9f876e2afb949c7aa1
train/39_A.png,train,edge_only,39_A.png,A,1,1,1,good,pixel_39628beb9715cdc918befae24c95fdd977e791792788254c0fdcc86b7cdad66f,2,0,duplicate_image_distinct_labels,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Original/39_A.png,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Ground truth/39_A.png,100d0e73eb8168bfe0336c37cc0f03f0f21e1abd10eb38f0990ad47fe43e158e,e9dd49457626f11f10c5d878fdeab5e404294e479d33279e38c91bdeaca48408,39628beb9715cdc918befae24c95fdd977e791792788254c0fdcc86b7cdad66f,RGB,RGB,2048,2048,317159,edge_only,releases/development_v1/fov/39_A.png,5ac0416892bb964ba7b92a7a063c9056ede933fe2e5ba0c00335f5fc6050738f
train/447_G.png,train,edge_only,447_G.png,G,0,0,0,poor,pixel_569ab1b1dc5938309400c2f5ff203c21353acc478fbcedbedc95f9ad8ee435d1,1,1,empty_label,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Original/447_G.png,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Ground truth/447_G.png,245e39d3e4ee367bce1d1a6771d6d7620aa03e5cc22c721af8625a357f040b3a,f57ca1fb2a21ab3c7da1b0ac1ed3859b816a4ed6eb7b09700419e86f0b0e1c8e,569ab1b1dc5938309400c2f5ff203c21353acc478fbcedbedc95f9ad8ee435d1,RGB,RGB,2048,2048,0,edge_only,releases/development_v1/fov/447_G.png,3b5f73187b8f3263f0517a734b483f38fdeaaa304dfc687babb5d6c5b3d37f60
train/448_G.png,train,edge_only,448_G.png,G,0,0,0,poor,pixel_410e9af03da5f030388834e21bfda841c0ad2d82b60f653b9c8967b4833e6bb7,1,1,empty_label,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Original/448_G.png,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Ground truth/448_G.png,e8644dbd094f07763d894a7842b1058bafd4403b23da52c7bfc2de78b94a59e9,f57ca1fb2a21ab3c7da1b0ac1ed3859b816a4ed6eb7b09700419e86f0b0e1c8e,410e9af03da5f030388834e21bfda841c0ad2d82b60f653b9c8967b4833e6bb7,RGB,RGB,2048,2048,0,edge_only,releases/development_v1/fov/448_G.png,390f249b781c37c3f8e4e6c556e695d5be1de2b964784aecd8a575f468c7376a
train/53_A.png,train,edge_only,53_A.png,A,1,1,1,good,pixel_21672299f7219a8b92cae2ed71fe7bc3d76d1fa914d0b6f40046159c7b6e11a9,2,0,duplicate_image_distinct_labels,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Original/53_A.png,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Ground truth/53_A.png,5ee508d7f178b7fc77a510e3fde99b2c1a10f14d449e136cbcf4e512754aadd9,3a291536bb2edc71e27ea257c8172c11ddf52294e735e7dc40f2b971c065c096,21672299f7219a8b92cae2ed71fe7bc3d76d1fa914d0b6f40046159c7b6e11a9,RGB,RGB,2048,2048,335697,edge_only,releases/development_v1/fov/53_A.png,517d5aa706bada4ede2f7c2a8641282bf8f4016ccd9f0bb5623ba60c9c9ad4ea
train/55_A.png,train,edge_only,55_A.png,A,1,1,1,good,pixel_a0e493a562a4cbfe0804060d2d825a04dcc45cc7f84dd9b7eb23726ddbcb2593,2,0,duplicate_image_distinct_labels,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Original/55_A.png,data_checks/fives_download_2026-09-04/datasets/FIVES/train/Ground truth/55_A.png,c104474a4d6e401832bb31ee7b9377ee58ca947c34636027f5fea6294207cf72,72f189050d610db0907c6505cec3c912ff460102e166ea08a345d7732f9fcbfe,a0e493a562a4cbfe0804060d2d825a04dcc45cc7f84dd9b7eb23726ddbcb2593,RGB,RGB,2048,2048,349387,edge_only,releases/development_v1/fov/55_A.png,e87e7323ef4973e9245c9aa37b1763100218a572a2ac89dd5059acc4ed0d5bcc
